true_guess / total_guess
979 / 28180
1568 / 49980
2046 / 68730
2743 / 350530
3271 / 369420
3769 / 558320
3977 / 569890
4401 / 701590
4725 / 919590
4989 / 1107090
5136 / 2038367
5299 / 2041185
5429 / 3430459
5577 / 4079740
5717 / 4155826
5839 / 4582271
5963 / 4584451
6037 / 5620930
6128 / 5679790
6199 / 5681665
6246 / 7899431
6317 / 7950056
6356 / 8630811
6442 / 9705551
6506 / 11192194
6546 / 11307894
6566 / 11321024
6636 / 11372027
6671 / 11385157
6707 / 11416396
6752 / 11694994
6828 / 11696883
6878 / 11725063
6903 / 11726220
6930 / 11748020
6969 / 11749337
6975 / 11749459
6979 / 11754919
7001 / 12226122
7026 / 12800278
7068 / 12819168
7091 / 12837918
7102 / 12839358
7102 / 12839358
7105 / 12840408
7108 / 12845868
7114 / 13024638
7119 / 13461463
7122 / 13474633
7128 / 13559947
7136 / 13571517
7141 / 13577783
7148 / 13976625
7150 / 13977555
7151 / 13977618
7168 / 14207409
7174 / 14472241
7183 / 14750839
7185 / 15048833
7205 / 15170150
7208 / 15548142
7228 / 15789274
7238 / 15797974
7241 / 15800600
7247 / 16255849
7252 / 16573246
7261 / 16579512
7263 / 16758282
7263 / 16966747
7279 / 17126081
7282 / 17327237
7286 / 17336537
7287 / 17337127
7291 / 17351527
7291 / 17351527
7310 / 17527689
7311 / 17538189
7317 / 17538234
7318 / 17715832
7321 / 17718458
7328 / 17999948
7332 / 18254550
7332 / 18254550
7332 / 18263200
7339 / 18417288
7341 / 18609964
7352 / 18772817
7353 / 18852360
7358 / 18916676
7363 / 18917716
7368 / 19002404
7368 / 19181532
7377 / 19182397
7381 / 19337251
7391 / 19416837
7393 / 19459728
7393 / 19459728
7394 / 19705896
7396 / 19834267
7398 / 19919976
7400 / 19973492
7409 / 20083394
7411 / 20089294
7415 / 20203080
7415 / 20203370
7415 / 20216540
7415 / 20251274
7417 / 20252494
7417 / 20337117
7417 / 20350247
7419 / 20424587
7424 / 20544991
7428 / 20651825
7428 / 20829423
7431 / 20911530
7440 / 20994459
7442 / 20994475
7443 / 21040324
7447 / 21098011
