true_guess / total_guess
979 / 28180
1568 / 49980
2046 / 68730
2743 / 350530
3271 / 369420
3769 / 558320
3977 / 569890
4401 / 701590
4725 / 919590
4989 / 1107090
5136 / 2038367
5299 / 2041185
5429 / 3430459
5577 / 4079740
5717 / 4155826
5839 / 4582271
5963 / 4584451
6054 / 4643311
6128 / 5679790
6199 / 5681665
6246 / 7899431
6317 / 7950056
6356 / 8630811
6442 / 9705551
6506 / 11192194
6546 / 11307894
6566 / 11321024
6601 / 11334154
6671 / 11385157
6707 / 11416396
6752 / 11694994
6828 / 11696883
6878 / 11725063
6903 / 11726220
6930 / 11748020
6969 / 11749337
6975 / 11749459
6979 / 11754919
7001 / 12226122
7026 / 12800278
7068 / 12819168
7091 / 12837918
7102 / 12839358
7102 / 12839358
7105 / 12840408
7108 / 12845868
7114 / 13024638
7119 / 13461463
7125 / 13546777
7131 / 13829509
7139 / 13841079
7144 / 13847345
7146 / 14160987
7153 / 14559829
7155 / 14560759
7164 / 14839357
7165 / 14839420
7182 / 15058211
7185 / 15436526
7205 / 15677658
7208 / 15680284
7218 / 15688984
7224 / 16144233
7229 / 16461630
7240 / 16626342
7242 / 16805112
7242 / 17013577
7251 / 17019843
7261 / 17216965
7280 / 17330915
7296 / 17490249
7299 / 17691405
7303 / 17700705
7304 / 17701295
7308 / 17715695
7311 / 17867302
7311 / 17867302
7330 / 18034504
7336 / 18034549
7340 / 18289151
7341 / 18299651
7344 / 18472383
7345 / 18649981
7348 / 18652607
7353 / 18797488
7364 / 18960341
7371 / 19241831
7376 / 19421992
7376 / 19629495
7381 / 19738819
7381 / 19738819
7383 / 19930854
7390 / 20080680
7394 / 20342916
7394 / 20549158
7398 / 20707503
7403 / 20848471
7408 / 20849511
7413 / 21009137
