true_guess / total_guess
979 / 28180
1568 / 49980
2046 / 68730
2743 / 350530
3271 / 369420
3769 / 558320
3977 / 569890
4401 / 701590
4725 / 919590
4989 / 1107090
5136 / 2038367
5299 / 2041185
5429 / 3430459
5577 / 4079740
5717 / 4155826
5839 / 4582271
5963 / 4584451
6054 / 4643311
6128 / 5679790
6199 / 5681665
6246 / 7899431
6317 / 7950056
6356 / 8630811
6442 / 9705551
6506 / 11192194
6546 / 11307894
6566 / 11321024
6601 / 11334154
6671 / 11385157
6707 / 11416396
6752 / 11694994
6828 / 11696883
6878 / 11725063
6903 / 11726220
6930 / 11748020
6969 / 11749337
6975 / 11749459
6979 / 11754919
7001 / 12226122
7026 / 12800278
7068 / 12819168
7091 / 12837918
7102 / 12839358
7102 / 12839358
7105 / 12840408
7108 / 12845868
7114 / 13024638
7119 / 13461463
7125 / 13546777
7131 / 13829180
7139 / 13840750
7144 / 13847016
7146 / 14155658
7153 / 14554500
7155 / 14555430
7164 / 14834028
7165 / 14834091
7182 / 15052882
7185 / 15422143
7205 / 15663275
7208 / 15665901
7218 / 15674601
7224 / 16129850
7229 / 16447247
7240 / 16611773
7242 / 16790543
7242 / 16999008
7251 / 17005274
7261 / 17200888
7280 / 17314838
7296 / 17474172
7299 / 17675328
7303 / 17684628
7304 / 17685218
7308 / 17699618
7311 / 17851168
7316 / 18041867
7316 / 18041867
7335 / 18209069
7338 / 18381817
7344 / 18381862
7348 / 18636464
7349 / 18646964
7350 / 18824562
7353 / 18827188
7358 / 18971879
7369 / 19134732
7375 / 19282461
7380 / 19391159
7380 / 19391159
7380 / 19589843
7384 / 19853151
7386 / 20043890
7393 / 20193716
7393 / 20397881
7398 / 20564558
7402 / 20714819
